Doc Name,Observation Unit,Source Document,Judges On Panel,Appointing Presidents On Panel,Appointing Parties On Panel,Policy Instrument Purpose,Plaintiff Immigration Status Type,Policy Instrument Type,Policy Instrument Issuing Authority,Court Decision Legal Basis,Decision Date,Immigration Policy At Issue,Executive Order Name,Legal Challenge Grounds,Defendant Entity Types,Injunction Scope,Policy Instrument Date,Judge Names,Judge Decision Outcome,Case Subject Matter,Administration At Issue,Policy Instrument Target Group,Executive Order Number,Judge Decision Tendency,Court Level,Case Proceeding Type,Plaintiff Entity Types,Court name
Judge Stephanie L. Haines,Judge Stephanie L. Haines,ASR2025-05-13WDPA,"{'judge_name': 'Stephanie L. Haines', 'appointing_president': 'Donald J. Trump', 'appointing_party': 'Republican', 'opinion_type': 'majority', 'opinion_role': 'author'}",Donald J. Trump,Republican,"To direct the apprehension, restraint, security, and removal of natives, citizens, denizens, or subjects of a hostile nation or government, being of the age of fourteen years and upward, who are within the United States and not actually naturalized, when there is a declared war or an invasion or predatory incursion against the territory of the United States.",Other Nonimmigrant,Proclamation,President of the United States,"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)",2025-05-13,"Presidential proclamation invoking the Alien Enemies Act (AEA) regarding the invasion of the United States by Tren de Aragua (TdA), designating TdA members as alien enemies liable for apprehension, restraint, security, and removal.",None,Administrative Procedure Act (APA),President of the United States,Individual,2025-03-14,Stephanie L. Haines,Motion for preliminary injunction granted in part and denied in part. The court found the Proclamation complied with the AEA but the notice provided to individuals subject to removal was constitutionally deficient.,Immigration Enforcement,Trump Administration,"Venezuelan citizens 14 years of age or older who are members of Tren de Aragua (TdA), are within the United States, and are not actually naturalized or lawful permanent residents.",None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, W.D. Pennsylvania"
AMIR H. ALI,AMIR H. ALI,AmericanGateways2025-07-21DDC,"AMIR H. ALI, United States District Judge",None,None,"To authorize and enable immigration courts to appoint a qualified representative to detained, unrepresented people who are adjudicated to be mentally incompetent in detention or deportation proceedings.",Detained noncitizens found by an immigration judge to be mentally incompetent to represent themselves.,Policy,Acting Director of the Executive Office for Immigration Review,Administrative Procedure Act (APA) - Arbitrary and Capricious,07/21/2025,"The rescission of the National Qualified Representative Program (NQRP), which provided qualified representatives to detained, unrepresented individuals found mentally incompetent in immigration proceedings.",None,Administrative Procedure Act (APA),Department of Justice (DOJ),Nationwide,April 2013,AMIR H. ALI,"The Court grants Plaintiffs' motion for a preliminary injunction and denies in part Defendants' motion to dismiss, ordering the reinstatement of the National Qualified Representative Program (NQRP).",Detention/Removal,Other,"Detained, unrepresented respondents found to be mentally incompetent to represent themselves in immigration proceedings.",None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Immigrant Advocacy Group,"United States District Court, District of Columbia"
Judge Dabney L. Friedrich,Judge Dabney L. Friedrich,Angelica2025-06-09DDC,"{'judge_name': 'Dabney L. Friedrich', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Holding', 'role': 'Author/Joiner'}",[],[],To revise the Unaccompanied Children Program Foundational Rule and implement new sponsor document requirements to address concerns about fraud and trafficking in the sponsor vetting process.,Other Nonimmigrant,Interim Final Rule,Department of Health and Human Services (HHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,"June 9, 2025","Revisions to the Unaccompanied Children Program Foundational Rule and new sponsor document requirements, including identification and proof of income.",None,Administrative Procedure Act (APA),Department of Health and Human Services (HHS),Nationwide,"March 25, 2025",Dabney L. Friedrich,Granted in part and denied in part the motion for preliminary injunction; granted the motion for provisional class certification.,Refugee Resettlement,Other,Potential sponsors of unaccompanied minor noncitizens.,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Non-profit Organization,"United States District Court, District of Columbia"
Judge John W. Holcomb,Judge John W. Holcomb,Arevalo2025-06-02CDCA,"{'name': 'John W. Holcomb', 'appointing_president': 'George W. Bush', 'appointing_party': 'Republican', 'opinion_type': 'Author/Joined', 'role': 'Author'}",George W. Bush,Republican,To authorize and direct the immediate removal of certain Venezuelan nationals suspected of being members of the Tren de Aragua foreign terrorist organization.,Other Nonimmigrant,Proclamation,President of the United States,Fifth Amendment - Due Process (Procedural),2025-06-02,Presidential Proclamation invoking the Alien Enemies Act (AEA) to authorize and direct the immediate removal of certain Venezuelan nationals suspected of being members of the Tren de Aragua.,Protecting the American People Against Invasion,Administrative Procedure Act (APA) - Arbitrary and Capricious,President of the United States,Nationwide,2025-03-14,John W. Holcomb,Granted in part and denied in part the motion for preliminary injunction and certified the class.,Immigration Enforcement,Trump Administration,"Venezuelan citizens 14 years of age or older who are members of Tren de Aragua, are within the United States, and are not naturalized or lawful permanent residents.",10903,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, C.D. California"
Joseph N. Laplante,Joseph N. Laplante,Barbara2025-07-10DNH,"{'name': 'Joseph N. Laplante', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Granting', 'role': 'Author'}",[],[],"The purpose of the Executive Order ""Protecting the Meaning and Value of American Citizenship"" appears to be to restrict or modify the criteria for certain immigration benefits or statuses, as indicated by the court's injunction against its enforcement.","Undetermined, but implied to be individuals affected by the Executive Order concerning ""American Citizenship.""",Executive Order,President of the United States,"Likelihood of success on the merits, irreparable harm, balance of harms, and public interest.","July 10, 2025",The Executive Order titled “Protecting the Meaning and Value of American Citizenship.”,Protecting the Meaning and Value of American Citizenship,"Likelihood of success on the merits, irreparable harm, balance of harms, and public interest.",President of the United States,Class-wide,None,Joseph N. Laplante,"The court granted the Petitioners' Motion for a Classwide Preliminary Injunction, enjoining the enforcement of the Executive Order “Protecting the Meaning and Value of American Citizenship.” The injunction was stayed for seven days pending appeal.",Immigration Enforcement,Trump Administration,"Individuals affected by the Executive Order ""Protecting the Meaning and Value of American Citizenship,"" which likely pertains to immigration status or benefits.",None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. New Hampshire"
Judge Deborah L. Boardman,Judge Deborah L. Boardman,CASA2025-02-05DMD,"{'name': 'Deborah L. Boardman', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Holding', 'role': 'Author/Joined'}",[],[],To interpret the Citizenship Clause of the Fourteenth Amendment in a manner that would deny citizenship by birth to U.S.-born persons whose mothers are in the country unlawfully or temporarily and whose fathers are not citizens or lawful permanent residents at the time of the person's birth.,Undocumented,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-02-05,An Executive Order that would deny citizenship by birth to U.S.-born persons whose mothers are in the country unlawfully or temporarily and whose fathers are not citizens or lawful permanent residents at the time of the person's birth.,Protecting the Meaning and Value of American Citizenship,Fourteenth Amendment,President of the United States,Nationwide,2025-01-20,Deborah L. Boardman,"The court granted the motion for a preliminary injunction, enjoining the implementation and enforcement of the Executive Order.",Immigration Enforcement,Trump Administration,U.S.-born persons whose mothers are in the country unlawfully or temporarily and whose fathers are not citizens or lawful permanent residents at the time of the person's birth.,14160,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Immigrant Advocacy Group,"United States District Court, D. Maryland"
Judge Harris,Judge Harris,CASA2025-02-28CA4,"{'name': 'Judge Harris', 'appointing_president': None, 'political_party': None, 'opinion_type': 'concurrence', 'author_joiner': 'author'}",[],[],To construe the Citizenship Clause of the Fourteenth Amendment to exclude children born in the United States to aliens illegally present or only temporarily present in the United States from birthright citizenship.,Asylum Seeker,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"February 28, 2025",An Executive Order that construes the Citizenship Clause of the Fourteenth Amendment to exclude children born in the United States to undocumented or non-permanent immigrants from birthright citizenship.,None,Fourteenth Amendment,President of the United States,Nationwide,None,Judge Harris,"The court denied the government's motion for a partial stay of the district court's preliminary injunction, finding that the government had not shown an entitlement to a stay pending appeal. Judge Harris concurred with Judge Gregory, while Judge Niemeyer dissented.",Immigration Enforcement,Trump Administration,Children born in the United States to undocumented or non-permanent immigrants.,14160,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Gregory,Judge Gregory,CASA2025-02-28CA4,"{'name': 'Judge Gregory', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Concurring', 'role': 'Concurred in the order'}",[],[],To construe the Citizenship Clause of the Fourteenth Amendment to exclude children born in the United States to aliens illegally present or only temporarily present in the United States from automatic citizenship.,Asylum Seeker,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"February 28, 2025",An Executive Order that construes the Citizenship Clause of the Fourteenth Amendment to exclude children born in the U.S. to undocumented or temporarily present aliens from birthright citizenship.,None,Fourteenth Amendment,President of the United States,Nationwide,None,Judge Harris,"The court denied the government's motion for a partial stay of the district court's preliminary injunction, finding that the government had not shown an entitlement to a stay pending appeal.",Immigration Enforcement,Trump Administration,Children born in the United States to aliens illegally present or only temporarily present in the United States.,14160,Supportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Judge Niemeyer,Judge Niemeyer,CASA2025-02-28CA4,"{'name': 'Judge Niemeyer', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Unsupportive of Government Immigration Policy', 'role': 'authoring/joining'}",[],[],To construe the Citizenship Clause of the Fourteenth Amendment to exclude children born in the United States to aliens illegally present or only temporarily present in the United States from citizenship.,Asylum Seeker,Executive Order,President of the United States,Fifth Amendment - Due Process (Procedural),"February 28, 2025","Executive Order 14160, which construes the Citizenship Clause of the Fourteenth Amendment to exclude children born in the U.S. to aliens illegally or temporarily present from citizenship.",Executive Order 14160,Fourteenth Amendment,President of the United States,Nationwide,None,Judge Harris,The court denied the government's motion for a partial stay of the district court's preliminary injunction.,Immigration Enforcement,Trump Administration,Children born in the United States to aliens illegally present or only temporarily present in the United States.,14160,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, Fourth Circuit"
Justice Barrett,Justice Barrett,CASA2025-06-27SCt,"Justice Barrett delivered the opinion of the Court. Chief Justice Roberts, and Justices Thomas, Alito, Gorsuch, and Kavanaugh joined.","The appointing presidents are not explicitly stated for all judges in the provided text. However, the case involves an Executive Order issued by President Trump, and the opinion is delivered by Justice Barrett, who was appointed by President Trump. Other joining justices (Roberts, Thomas, Alito, Gorsuch, Kavanaugh) were also appointed by Republican presidents.",Republican,To restrict birthright citizenship by identifying circumstances in which a person born in the United States is not recognized as an American citizen.,"The specific immigration statuses of the individual plaintiffs are not detailed, but they include noncitizen expectant mothers and immigration rights groups representing members who are likely to give birth to children who would be denied citizenship.",Executive Order,President of the United States,Judiciary Act of 1789 (lack of equitable authority for universal injunctions),"June 27, 2025",Executive Order restricting birthright citizenship.,Protecting the Meaning and Value of American Citizenship,"Fourteenth Amendment’s Citizenship Clause, Nationality Act of 1940","President of the United States, federal officials, United States",The Court granted partial stays to the extent that the injunctions were broader than necessary to provide complete relief to each plaintiff with standing to sue.,2025,"Justice Barrett, Chief Justice Roberts, Justices Thomas, Alito, Gorsuch, Kavanaugh, Sotomayor, Kagan, Jackson","The Supreme Court granted the Government's applications for partial stays of the preliminary injunctions, finding that universal injunctions likely exceed federal courts' equitable authority under the Judiciary Act of 1789. Relief was granted to the extent the injunctions were broader than necessary to provide complete relief to each plaintiff with standing to sue.","Immigration policy, specifically birthright citizenship.",Trump Administration,"Persons born in the United States to mothers who were unlawfully present or lawfully present on a temporary basis, and whose fathers were neither U.S. citizens nor lawful permanent residents at the time of birth.",14160,Supportive of Government Immigration Policy,Supreme Court,Motion for Stay,"Individual Noncitizen, Immigrant Advocacy Group, State Government",Supreme Court of the United States
